Playoffs Standing,General Standing ,Club,Budget,Pts,BM,BE,DB,Budget
4,1,Los Angeles FC,11315559,72,85,37,48,15631367
5,2,NYCFC,9749665,64,63,42,21,10156845
3,3,Atlanta,12474130,58,58,43,15,12660008
1,4,Seattle,12142147,56,52,49,3,14150539
7,5,Philadelphia,8940760,55,58,50,8,9882607
8,6,Real Salt Lake,10118576,53,46,41,5,10973538
11,7,Minnesota,9758706,53,52,43,9,10700660
6,8,LA Galaxy,18826276,51,58,59,-1,19209502
2,9,Toronto FC,21585738,50,57,52,5,24261531
14,10,DC United,9733820,50,42,38,4,10774959
12,11,Portland,11928195,49,52,49,3,13253916
9,12,FC Dallas,7808258,48,54,46,8,9137519
10,13,NY Red Bulls,8111867,48,53,51,2,9005565
13,14,New England,9842854,45,50,57,-7,10973967
15,15,San Jose,9762324,44,52,55,-3,10334088
16,16,Colorado,7687479,42,58,63,-5,8412498
17,17,Chicago,15412903,42,55,47,8,16906580
18,18,Montreal,8449848,41,47,60,-13,12946804
19,19,Houston,7932085,40,49,59,-10,8597724
20,20,Sporting KC,11524012,38,49,67,-18,13090449
21,21,Columbus,9743082,38,39,47,-8,11368196
22,22,Orlando City,11568952,37,44,52,-8,12268820
23,23,Vancouver,7348982,34,37,59,-22,8468176
24,24,FC Cincinnati,8366444,24,31,75,-44,10867745
